transaction_id,user_id,amount,tax_amount,timestamp
7800,U363,351,63.18,2026-07-21 10:29:10.670581
8406,U818,1069,192.42,2026-07-21 10:29:10.670770
9609,U576,2904,522.72,2026-07-21 10:29:10.670783
4572,U861,4665,839.7,2026-07-21 10:29:10.670791
6160,U506,4500,810.0,2026-07-21 10:29:10.670800
4520,U398,1027,184.86,2026-07-21 10:29:10.670809
1660,U343,2956,532.08,2026-07-21 10:29:10.670817
5938,U962,1235,222.3,2026-07-21 10:29:10.670824
4044,U597,1369,246.42,2026-07-21 10:29:10.670832
3951,U930,1623,292.14,2026-07-21 10:29:10.670839
8875,U487,734,132.12,2026-07-21 10:29:10.670846
5857,U424,1577,283.86,2026-07-21 10:29:10.670854
7453,U700,4831,869.58,2026-07-21 10:29:10.670861
6459,U293,4432,797.76,2026-07-21 10:29:10.670869
9559,U331,3051,549.18,2026-07-21 10:29:10.670887
6626,U669,664,119.52,2026-07-21 10:29:10.670894
6318,U496,4424,796.32,2026-07-21 10:29:10.670901
2515,U292,575,103.5,2026-07-21 10:29:10.670909
6626,U534,749,134.82,2026-07-21 10:29:10.670916
8968,U212,3413,614.34,2026-07-21 10:29:10.670923
9510,U496,860,154.8,2026-07-21 10:29:10.670944
3454,U403,4048,728.64,2026-07-21 10:29:10.670951
1710,U381,3236,582.48,2026-07-21 10:29:10.670958
9830,U294,1050,189.0,2026-07-21 10:29:10.670966
9090,U378,2867,516.06,2026-07-21 10:29:10.670973
3896,U100,4659,838.62,2026-07-21 10:29:10.670981
4507,U291,1974,355.32,2026-07-21 10:29:10.670992
1578,U441,3955,711.9,2026-07-21 10:29:10.671000
7974,U752,3308,595.44,2026-07-21 10:29:10.671006
7628,U408,471,84.78,2026-07-21 10:29:10.671014
4830,U125,3571,642.78,2026-07-21 10:29:10.671026
5160,U204,1011,181.98,2026-07-21 10:29:10.671034
6056,U788,1373,247.14,2026-07-21 10:29:10.671041
4047,U211,2669,480.42,2026-07-21 10:29:10.671049
9360,U475,477,85.86,2026-07-21 10:29:10.671055
4384,U741,3052,549.36,2026-07-21 10:29:10.671063
9960,U290,1759,316.62,2026-07-21 10:29:10.671069
8674,U279,2015,362.7,2026-07-21 10:29:10.671077
1307,U348,676,121.68,2026-07-21 10:29:10.671084
4882,U576,2881,518.58,2026-07-21 10:29:10.671092
5923,U813,954,171.72,2026-07-21 10:29:10.671099
7684,U198,3716,668.88,2026-07-21 10:29:10.671106
8831,U638,597,107.46,2026-07-21 10:29:10.671113
3276,U103,1156,208.08,2026-07-21 10:29:10.671121
2454,U304,2931,527.58,2026-07-21 10:29:10.671128
3625,U437,3464,623.52,2026-07-21 10:29:10.671136
8477,U273,142,25.56,2026-07-21 10:29:10.671144
1911,U808,3174,571.32,2026-07-21 10:29:10.671151
5809,U515,3855,693.9,2026-07-21 10:29:10.671158
8133,U583,2428,437.04,2026-07-21 10:29:10.671165
2702,U481,4904,882.72,2026-07-21 10:29:10.671172
6293,U845,1904,342.72,2026-07-21 10:29:10.671179
1229,U491,4721,849.78,2026-07-21 10:29:10.671188
6609,U796,4273,769.14,2026-07-21 10:29:10.671195
6784,U877,206,37.08,2026-07-21 10:29:10.671202
4117,U341,2747,494.46,2026-07-21 10:29:10.671210
5093,U368,3875,697.5,2026-07-21 10:29:10.671217
3146,U774,4823,868.14,2026-07-21 10:29:10.671224
9065,U413,1420,255.6,2026-07-21 10:29:10.671231
8254,U549,4579,824.22,2026-07-21 10:29:10.671238
9710,U105,485,87.3,2026-07-21 10:29:10.671246
4659,U905,2705,486.9,2026-07-21 10:29:10.671253
7891,U722,2511,451.98,2026-07-21 10:29:10.671264
4125,U748,1778,320.04,2026-07-21 10:29:10.671271
1815,U181,2190,394.2,2026-07-21 10:29:10.671278
1246,U754,3405,612.9,2026-07-21 10:29:10.671286
4812,U686,1595,287.1,2026-07-21 10:29:10.671293
4032,U991,4128,743.04,2026-07-21 10:29:10.671301
1061,U915,3472,624.96,2026-07-21 10:29:10.671307
1842,U167,2762,497.16,2026-07-21 10:29:10.671315
3416,U333,1028,185.04,2026-07-21 10:29:10.671321
5077,U174,2020,363.6,2026-07-21 10:29:10.671329
8320,U136,811,145.98,2026-07-21 10:29:10.671335
3107,U195,737,132.66,2026-07-21 10:29:10.671343
6527,U454,4756,856.08,2026-07-21 10:29:10.671355
8222,U779,4656,838.08,2026-07-21 10:29:10.671362
7713,U176,1302,234.36,2026-07-21 10:29:10.671369
3512,U753,2419,435.42,2026-07-21 10:29:10.671377
5472,U902,3420,615.6,2026-07-21 10:29:10.671388
3745,U265,3491,628.38,2026-07-21 10:29:10.671396
9986,U565,280,50.4,2026-07-21 10:29:10.671403
