transaction_id,user_id,amount,tax_amount,timestamp
5387,U989,2403,432.54,2026-07-20 10:38:44.346965
4423,U826,1281,230.58,2026-07-20 10:38:44.346997
8258,U946,1367,246.06,2026-07-20 10:38:44.347007
9550,U727,440,79.2,2026-07-20 10:38:44.347016
4483,U295,1955,351.9,2026-07-20 10:38:44.347025
1870,U603,586,105.48,2026-07-20 10:38:44.347033
6691,U123,3563,641.34,2026-07-20 10:38:44.347042
6733,U113,4069,732.42,2026-07-20 10:38:44.347050
3884,U156,1949,350.82,2026-07-20 10:38:44.347057
9235,U811,4208,757.44,2026-07-20 10:38:44.347064
3163,U738,4449,800.82,2026-07-20 10:38:44.347071
8703,U392,3581,644.58,2026-07-20 10:38:44.347078
3728,U217,4064,731.52,2026-07-20 10:38:44.347086
6417,U861,3749,674.82,2026-07-20 10:38:44.347100
3945,U357,3184,573.12,2026-07-20 10:38:44.347108
5206,U556,1628,293.04,2026-07-20 10:38:44.347114
9945,U795,3925,706.5,2026-07-20 10:38:44.347121
8058,U709,4345,782.1,2026-07-20 10:38:44.347129
4740,U350,3327,598.86,2026-07-20 10:38:44.347136
7693,U891,2578,464.04,2026-07-20 10:38:44.347144
6087,U192,1605,288.9,2026-07-20 10:38:44.347151
6795,U922,2063,371.34,2026-07-20 10:38:44.347158
9349,U893,3889,700.02,2026-07-20 10:38:44.347165
4120,U742,4597,827.46,2026-07-20 10:38:44.347173
7562,U864,3901,702.18,2026-07-20 10:38:44.347180
5031,U237,1012,182.16,2026-07-20 10:38:44.347187
1938,U782,3342,601.56,2026-07-20 10:38:44.347194
7360,U472,3378,608.04,2026-07-20 10:38:44.347201
5489,U823,4830,869.4,2026-07-20 10:38:44.347208
9541,U272,1685,303.3,2026-07-20 10:38:44.347215
9046,U903,3411,613.98,2026-07-20 10:38:44.347222
6692,U338,4784,861.12,2026-07-20 10:38:44.347229
2536,U109,156,28.08,2026-07-20 10:38:44.347236
6518,U202,1477,265.86,2026-07-20 10:38:44.347243
6906,U624,2077,373.86,2026-07-20 10:38:44.347250
7948,U960,3867,696.06,2026-07-20 10:38:44.347257
3129,U451,219,39.42,2026-07-20 10:38:44.347267
1583,U707,1449,260.82,2026-07-20 10:38:44.347274
4054,U592,2875,517.5,2026-07-20 10:38:44.347282
7514,U754,3912,704.16,2026-07-20 10:38:44.347288
5330,U837,4799,863.82,2026-07-20 10:38:44.347296
8742,U673,4600,828.0,2026-07-20 10:38:44.347305
9914,U311,220,39.6,2026-07-20 10:38:44.347312
6982,U781,3478,626.04,2026-07-20 10:38:44.347320
3546,U186,124,22.32,2026-07-20 10:38:44.347328
2550,U242,150,27.0,2026-07-20 10:38:44.347337
3175,U710,2269,408.42,2026-07-20 10:38:44.347350
1277,U118,2034,366.12,2026-07-20 10:38:44.347357
1521,U709,234,42.12,2026-07-20 10:38:44.347364
3867,U128,4578,824.04,2026-07-20 10:38:44.347372
3059,U921,1408,253.44,2026-07-20 10:38:44.347379
9382,U354,4345,782.1,2026-07-20 10:38:44.347386
8293,U432,719,129.42,2026-07-20 10:38:44.347393
3799,U208,2936,528.48,2026-07-20 10:38:44.347401
8409,U353,3342,601.56,2026-07-20 10:38:44.347408
3781,U571,896,161.28,2026-07-20 10:38:44.347415
1627,U510,3315,596.7,2026-07-20 10:38:44.347422
6474,U433,1670,300.6,2026-07-20 10:38:44.347429
8986,U900,706,127.08,2026-07-20 10:38:44.347436
1641,U552,3658,658.44,2026-07-20 10:38:44.347444
1494,U597,1507,271.26,2026-07-20 10:38:44.347451
2962,U406,4318,777.24,2026-07-20 10:38:44.347458
9550,U910,4209,757.62,2026-07-20 10:38:44.347464
4533,U892,524,94.32,2026-07-20 10:38:44.347471
2453,U824,770,138.6,2026-07-20 10:38:44.347478
5122,U977,4601,828.18,2026-07-20 10:38:44.347489
7709,U933,1560,280.8,2026-07-20 10:38:44.347496
4326,U414,884,159.12,2026-07-20 10:38:44.347503
1826,U546,2345,422.1,2026-07-20 10:38:44.347510
8318,U560,401,72.18,2026-07-20 10:38:44.347517
7734,U789,2614,470.52,2026-07-20 10:38:44.347524
2391,U565,3237,582.66,2026-07-20 10:38:44.347531
3375,U140,2673,481.14,2026-07-20 10:38:44.347538
5535,U605,1451,261.18,2026-07-20 10:38:44.347545
9493,U252,4336,780.48,2026-07-20 10:38:44.347552
9539,U699,2442,439.56,2026-07-20 10:38:44.347559
3692,U104,1857,334.26,2026-07-20 10:38:44.347567
5668,U812,2585,465.3,2026-07-20 10:38:44.347577
1778,U488,249,44.82,2026-07-20 10:38:44.347587
4761,U570,231,41.58,2026-07-20 10:38:44.347594
9486,U184,3527,634.86,2026-07-20 10:38:44.347602
2317,U166,2607,469.26,2026-07-20 10:38:44.347608
